timestamp,unix_time,hr_bpm,rr_intervals_ms,ecg_samples
2025-09-14 00:20:04,1757834404.296,86,723.6,
2025-09-14 00:20:05,1757834405.313,86,,
2025-09-14 00:20:10,1757834410.861,86,,
2025-09-14 00:20:10,1757834410.861,86,,
2025-09-14 00:20:10,1757834410.861,85,740.2,
2025-09-14 00:20:10,1757834410.861,84,835.9;4220.7,
2025-09-14 00:20:10,1757834410.865,84,720.7,
2025-09-14 00:20:11,1757834411.317,83,750.0,
2025-09-14 00:20:12,1757834412.309,83,776.4,
2025-09-14 00:20:13,1757834413.300,81,792.0;774.4,
2025-09-14 00:20:14,1757834414.601,80,790.0,
2025-09-14 00:20:15,1757834415.306,80,783.2,
2025-09-14 00:20:16,1757834416.295,79,780.3;754.9,
2025-09-14 00:20:17,1757834417.313,79,757.8,
2025-09-14 00:20:18,1757834418.477,79,752.0,
2025-09-14 00:20:19,1757834419.293,79,752.0;729.5,
2025-09-14 00:20:20,1757834420.313,79,720.7,
2025-09-14 00:20:21,1757834421.304,80,732.4,
2025-09-14 00:20:22,1757834422.299,80,741.2;727.5,
2025-09-14 00:20:23,1757834423.313,80,720.7,
2025-09-14 00:20:24,1757834424.309,81,722.7;726.6,
2025-09-14 00:20:25,1757834425.294,81,708.0,
2025-09-14 00:20:26,1757834426.316,81,717.8,
2025-09-14 00:20:27,1757834427.304,82,722.7;738.3,
2025-09-14 00:20:28,1757834428.294,82,718.8,
2025-09-14 00:20:29,1757834429.344,82,730.5;723.6,
2025-09-14 00:20:30,1757834430.309,82,718.8,
2025-09-14 00:20:31,1757834431.326,82,705.1,
2025-09-14 00:20:32,1757834432.720,83,715.8;716.8,
2025-09-14 00:20:33,1757834433.709,83,719.7,
2025-09-14 00:20:34,1757834434.699,83,710.0,
2025-09-14 00:20:35,1757834435.693,83,718.8;726.6,
2025-09-14 00:20:36,1757834436.679,83,720.7,
2025-09-14 00:20:39,1757834439.748,83,712.9;719.7,
2025-09-14 00:20:39,1757834439.755,83,724.6,
2025-09-14 00:20:39,1757834439.755,83,724.6,
