timestamp,unix_time,hr_bpm,rr_intervals_ms,ecg_samples
2025-09-11 17:57:07,1757638627.137,78,743.2,
2025-09-11 17:57:08,1757638628.127,79,761.7;785.2,
2025-09-11 17:57:09,1757638629.118,78,813.5,
2025-09-11 17:57:10,1757638630.138,78,765.6,
2025-09-11 17:57:11,1757638631.128,78,768.6,
2025-09-11 17:57:12,1757638632.121,78,755.9;760.7,
2025-09-11 17:57:13,1757638633.137,78,766.6,
2025-09-11 17:57:14,1757638634.130,78,771.5,
2025-09-11 17:57:15,1757638635.117,78,787.1,
2025-09-11 17:57:16,1757638636.140,78,816.4;827.1,
2025-09-11 17:57:17,1757638637.137,77,816.4,
2025-09-11 17:57:18,1757638638.127,77,830.1,
2025-09-11 17:57:19,1757638639.138,76,827.1,
2025-09-11 17:57:20,1757638640.136,76,835.9,
2025-09-11 17:57:21,1757638641.117,75,809.6;833.0,
2025-09-11 17:57:22,1757638642.137,75,860.4,
2025-09-11 17:57:23,1757638643.127,75,874.0,
2025-09-11 17:57:24,1757638644.120,74,878.9,
2025-09-11 17:57:25,1757638645.137,74,859.4,
2025-09-11 17:57:26,1757638646.130,73,830.1;828.1,
2025-09-11 17:57:27,1757638647.125,73,804.7,
2025-09-11 17:57:28,1757638648.138,73,806.6,
2025-09-11 17:57:29,1757638649.135,73,816.4,
2025-09-11 17:57:30,1757638650.118,73,774.4;778.3,
2025-09-11 17:57:31,1757638651.176,74,778.3,
2025-09-11 17:57:32,1757638652.134,74,821.3,
2025-09-11 17:57:33,1757638653.118,74,780.3,
2025-09-11 17:57:34,1757638654.171,74,794.9;795.9,
2025-09-11 17:57:35,1757638655.460,75,765.6,
2025-09-11 17:57:36,1757638656.448,75,758.8,
2025-09-11 17:57:37,1757638657.455,76,741.2;751.0,
2025-09-11 17:57:38,1757638658.446,76,773.4,
2025-09-11 17:57:39,1757638659.444,76,762.7,
2025-09-11 17:57:40,1757638660.443,77,751.0;745.1,
2025-09-11 17:57:41,1757638661.441,77,748.0,
2025-09-11 17:57:42,1757638662.436,78,767.6,
2025-09-11 17:57:43,1757638663.430,78,756.8;768.6,
2025-09-11 17:57:44,1757638664.428,78,781.2,
2025-09-11 17:57:45,1757638665.428,78,790.0,
2025-09-11 17:57:46,1757638666.429,78,761.7;760.7,
2025-09-11 17:57:47,1757638667.426,78,760.7,
2025-09-11 17:57:48,1757638668.418,78,767.6,
2025-09-11 17:57:49,1757638669.418,78,752.0,
2025-09-11 17:57:50,1757638670.418,78,779.3;791.0,
2025-09-11 17:57:51,1757638671.414,78,814.5,
