timestamp,unix_time,hr_bpm,rr_intervals_ms,ecg_samples
2025-09-14 00:10:42,1757833842.300,82,734.4;740.2,
2025-09-14 00:10:43,1757833843.341,82,730.5,
2025-09-14 00:10:44,1757833844.310,82,737.3,
2025-09-14 00:10:45,1757833845.303,82,742.2;743.2,
2025-09-14 00:10:46,1757833846.320,82,745.1,
2025-09-14 00:10:47,1757833847.310,82,735.4,
2025-09-14 00:10:48,1757833848.300,81,745.1;742.2,
2025-09-14 00:10:49,1757833849.320,81,720.7,
2025-09-14 00:10:50,1757833850.310,82,715.8;719.7,
2025-09-14 00:10:51,1757833851.300,82,726.6,
2025-09-14 00:10:52,1757833852.323,82,751.0,
2025-09-14 00:10:53,1757833853.310,82,735.4;756.8,
2025-09-14 00:10:54,1757833854.303,82,752.0,
2025-09-14 00:10:55,1757833855.321,81,752.9,
2025-09-14 00:10:56,1757833856.310,81,723.6;728.5,
2025-09-14 00:10:57,1757833857.303,81,719.7,
2025-09-14 00:10:58,1757833858.321,82,713.9;696.3,
2025-09-14 00:10:59,1757833859.311,82,683.6,
2025-09-14 00:11:00,1757833860.300,83,687.5,
2025-09-14 00:11:01,1757833861.320,84,687.5;702.1,
2025-09-14 00:11:02,1757833862.311,84,692.4,
2025-09-14 00:11:03,1757833863.301,84,711.9;717.8,
2025-09-14 00:11:04,1757833864.321,84,735.4,
2025-09-14 00:11:05,1757833865.311,84,737.3,
2025-09-14 00:11:06,1757833866.301,84,741.2;740.2,
2025-09-14 00:11:07,1757833867.320,83,743.2,
2025-09-14 00:11:08,1757833868.343,83,722.7,
2025-09-14 00:11:09,1757833869.883,83,729.5;726.6,
2025-09-14 00:11:10,1757833870.789,83,726.6,
2025-09-14 00:11:11,1757833871.775,83,735.4;725.6,
2025-09-14 00:11:13,1757833873.757,83,724.6,
2025-09-14 00:11:13,1757833873.758,83,732.4,
2025-09-14 00:11:14,1757833874.745,82,741.2;744.1,
2025-09-14 00:11:15,1757833875.735,82,733.4,
2025-09-14 00:11:16,1757833876.727,82,748.0,
2025-09-14 00:11:17,1757833877.716,82,743.2;739.3,
2025-09-14 00:11:18,1757833878.712,82,713.9,
2025-09-14 00:11:19,1757833879.704,82,714.8;705.1,
2025-09-14 00:11:20,1757833880.687,82,704.1,
2025-09-14 00:11:21,1757833881.675,83,694.3,
2025-09-14 00:11:22,1757833882.666,83,696.3;702.1,
2025-09-14 00:11:23,1757833883.658,84,704.1,
2025-09-14 00:11:24,1757833884.648,84,708.0;695.3,
2025-09-14 00:11:25,1757833885.638,84,697.3,
2025-09-14 00:11:26,1757833886.629,85,701.2;708.0,
2025-09-14 00:11:27,1757833887.615,85,716.8,
2025-09-14 00:11:28,1757833888.605,85,702.1,
2025-09-14 00:11:29,1757833889.596,85,708.0;701.2,
2025-09-14 00:11:30,1757833890.585,85,702.1,
2025-09-14 00:11:31,1757833891.575,85,681.6;684.6,
2025-09-14 00:11:32,1757833892.565,85,685.5,
2025-09-14 00:11:33,1757833893.555,86,686.5;659.2,
2025-09-14 00:11:34,1757833894.545,86,662.1,
2025-09-14 00:11:35,1757833895.537,87,660.2;668.0,
2025-09-14 00:11:36,1757833896.525,88,679.7,
2025-09-14 00:11:37,1757833897.515,88,671.9;696.3,
2025-09-14 00:11:38,1757833898.505,88,707.0,
2025-09-14 00:11:39,1757833899.496,88,721.7,
2025-09-14 00:11:40,1757833900.485,87,716.8;704.1,
2025-09-14 00:11:41,1757833901.477,86,698.2,
2025-09-14 00:11:42,1757833902.471,86,681.6;662.1,
2025-09-14 00:11:43,1757833903.537,87,646.5;639.6,
2025-09-14 00:11:44,1757833904.466,88,636.7,
2025-09-14 00:11:45,1757833905.470,90,635.7;643.6,
2025-09-14 00:11:46,1757833906.425,90,653.3,
2025-09-14 00:11:47,1757833907.415,91,680.7,
2025-09-14 00:11:48,1757833908.410,90,712.9;730.5,
2025-09-14 00:11:49,1757833909.398,89,733.4,
