timestamp,unix_time,hr_bpm,rr_intervals_ms,ecg_samples
2025-09-11 22:25:56,1757654756.966,87,693.4,
2025-09-11 22:25:57,1757654757.956,87,710.0;749.0,
2025-09-11 22:25:58,1757654758.953,86,730.5,
2025-09-11 22:25:59,1757654759.971,85,728.5;713.9,
2025-09-11 22:26:00,1757654760.963,85,715.8,
2025-09-11 22:26:01,1757654761.946,85,696.3;684.6,
2025-09-11 22:26:02,1757654762.969,85,692.4,
2025-09-11 22:26:03,1757654763.966,85,693.4,
2025-09-11 22:26:04,1757654764.946,86,712.9;700.2,
2025-09-11 22:26:05,1757654765.967,85,710.0,
2025-09-11 22:26:06,1757654766.956,85,710.9;703.1,
2025-09-11 22:26:07,1757654767.956,85,692.4,
2025-09-11 22:26:09,1757654769.003,85,718.8,
2025-09-11 22:26:09,1757654769.956,85,751.0;752.9,
2025-09-11 22:26:10,1757654770.946,84,714.8,
2025-09-11 22:26:11,1757654771.971,84,702.1;702.1,
2025-09-11 22:26:12,1757654772.956,84,694.3,
2025-09-11 22:26:13,1757654773.953,85,668.9;667.0,
2025-09-11 22:26:14,1757654774.967,85,643.6,
2025-09-11 22:26:15,1757654775.958,87,645.5;630.9,
2025-09-11 22:26:16,1757654776.954,89,612.3;610.4,
2025-09-11 22:26:17,1757654778.000,91,625.0,
2025-09-11 22:26:18,1757654778.986,92,631.8;612.3,
2025-09-11 22:26:19,1757654779.980,93,601.6,
2025-09-11 22:26:20,1757654780.972,95,600.6;611.3,
2025-09-11 22:26:21,1757654781.965,96,626.0;634.8,
2025-09-11 22:26:22,1757654782.946,96,636.7,
2025-09-11 22:26:23,1757654783.975,95,627.9;618.2,
2025-09-11 22:26:25,1757654785.241,96,621.1,
2025-09-11 22:26:26,1757654786.235,96,634.8;649.4,
2025-09-11 22:26:27,1757654787.230,95,713.9,
2025-09-11 22:26:28,1757654788.706,93,694.3;650.4,
2025-09-11 22:26:29,1757654789.205,92,620.1;618.2,
2025-09-11 22:26:30,1757654790.197,93,622.1,
2025-09-11 22:26:31,1757654791.181,94,643.6;638.7,
2025-09-11 22:26:32,1757654792.171,94,633.8,
2025-09-11 22:26:33,1757654793.161,94,638.7;636.7,
2025-09-11 22:26:34,1757654794.151,94,645.5,
2025-09-11 22:26:35,1757654795.145,94,633.8;634.8,
2025-09-11 22:26:36,1757654796.135,94,637.7;632.8,
2025-09-11 22:26:37,1757654797.128,94,635.7,
2025-09-11 22:26:38,1757654798.119,94,648.4;643.6,
2025-09-11 22:26:39,1757654799.106,94,642.6,
2025-09-11 22:26:40,1757654800.098,94,647.5;652.3,
2025-09-11 22:26:41,1757654801.088,93,666.0,
2025-09-11 22:26:42,1757654802.071,93,704.1,
2025-09-11 22:26:43,1757654803.061,92,735.4,
2025-09-11 22:26:44,1757654804.052,89,768.6;792.0,
2025-09-11 22:26:45,1757654805.049,87,775.4,
2025-09-11 22:26:46,1757654806.033,86,777.3,
2025-09-11 22:26:47,1757654807.026,84,769.5;761.7,
2025-09-11 22:26:49,1757654809.001,83,739.3,
2025-09-11 22:26:49,1757654809.002,83,720.7,
2025-09-11 22:26:50,1757654810.981,83,724.6;740.2,
2025-09-11 22:26:51,1757654811.477,83,763.7,
2025-09-11 22:26:51,1757654811.971,82,779.3,
2025-09-11 22:26:52,1757654812.962,82,816.4,
2025-09-11 22:26:53,1757654813.959,80,826.2;818.4,
2025-09-11 22:26:54,1757654814.942,80,764.6,
2025-09-11 22:26:56,1757654816.429,79,763.7,
2025-09-11 22:26:57,1757654817.422,79,765.6;756.8,
2025-09-11 22:26:58,1757654818.407,79,728.5,
2025-09-11 22:26:59,1757654819.397,79,724.6,
2025-09-11 22:27:00,1757654820.393,80,748.0;753.9,
2025-09-11 22:27:01,1757654821.376,80,757.8,
2025-09-11 22:27:02,1757654822.367,80,726.6;735.4,
2025-09-11 22:27:03,1757654823.356,80,744.1,
2025-09-11 22:27:04,1757654824.350,80,773.4,
2025-09-11 22:27:05,1757654825.343,80,738.3;749.0,
2025-09-11 22:27:06,1757654826.334,80,746.1,
2025-09-11 22:27:07,1757654827.324,80,741.2,
2025-09-11 22:27:08,1757654828.306,80,737.3;739.3,
