timestamp,unix_time,hr_bpm,rr_intervals_ms,ecg_samples
2025-09-14 00:24:08,1757834648.316,92,628.9;630.9,
2025-09-14 00:24:09,1757834649.335,92,641.6,
2025-09-14 00:24:10,1757834650.299,93,670.9;708.0,
2025-09-14 00:24:11,1757834651.316,92,717.8,
2025-09-14 00:24:12,1757834652.306,90,715.8,
2025-09-14 00:24:13,1757834653.304,89,708.0;727.5,
2025-09-14 00:24:14,1757834654.315,88,735.4,
2025-09-14 00:24:15,1757834655.312,87,746.1,
2025-09-14 00:24:16,1757834656.301,86,722.7;736.3,
2025-09-14 00:24:17,1757834657.322,85,733.4,
2025-09-14 00:24:18,1757834658.309,84,734.4;716.8,
2025-09-14 00:24:19,1757834659.304,84,741.2,
2025-09-14 00:24:20,1757834660.316,84,744.1,
2025-09-14 00:24:21,1757834661.305,83,728.5;728.5,
2025-09-14 00:24:22,1757834662.300,83,727.5,
2025-09-14 00:24:23,1757834663.323,83,729.5,
2025-09-14 00:24:24,1757834664.313,83,717.8;726.6,
2025-09-14 00:24:25,1757834665.306,83,719.7,
2025-09-14 00:24:26,1757834666.326,83,715.8;701.2,
2025-09-14 00:24:27,1757834667.305,83,693.4,
2025-09-14 00:24:28,1757834668.296,84,699.2;276.4,
2025-09-14 00:24:29,1757834669.315,85,1104.5;668.9,
2025-09-14 00:24:30,1757834670.311,85,478.5,
2025-09-14 00:24:31,1757834671.295,86,846.7,
2025-09-14 00:24:32,1757834672.289,86,653.3;647.5,
2025-09-14 00:24:33,1757834673.313,87,649.4,
2025-09-14 00:24:34,1757834674.306,89,652.3;653.3,
2025-09-14 00:24:35,1757834675.288,89,647.5,
2025-09-14 00:24:36,1757834676.712,90,644.5;652.3,
2025-09-14 00:24:37,1757834677.706,91,667.0,
2025-09-14 00:24:38,1757834678.691,90,678.7;686.5,
2025-09-14 00:24:39,1757834679.682,90,673.8,
2025-09-14 00:24:40,1757834680.680,89,690.4;692.4,
2025-09-14 00:24:41,1757834681.665,89,701.2,
